Basin,Country,Year,GDP,Rural population growth,Urban population growth,Employment in agriculture,Unemployment,GDP per capital ,Energy use per capita,Freshwater withdrawals (agriculture),Internet,Food imports,Inflation,Electricity - hydroelectric,Population density,Energy imports,Government effectiveness,Political stability,SPEI,Mean Temperature,Precipitation,Conflict,is_missing__GDP,is_missing__Rural population growth,is_missing__Urban population growth,is_missing__Employment in agriculture,is_missing__Unemployment,is_missing__GDP per capital index,is_missing__Energy use per capita kg oil equivalent,is_missing__Annual freshwater withdrawals (agriculture),is_missing__Internet,is_missing__Food imports,is_missing__Inflation,is_missing__Electricity production from hydroelectric sources,is_missing__Population density,is_missing__Energy imports,is_missing__Government effectiveness,is_missing__Political stability,is_missing__SPEI,is_missing__Mean Temperature,is_missing__Perception
Mekong,Lao People's Democratic Republic,2016,-0.811917925,0.007133693,0.481927622,1.174052846,-0.762453569,-0.042967808,-0.262950627,1.093527169,0.752524294,0.419191986,-0.544183037,1.245511865,-1.034222236,-0.331672202,0.430240423,1.797034757,-0.647252923,1.02879534,1.382435425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irrawaddy,China,2001,1.128061586,-1.061464402,0.869903392,0.546277641,-0.47520184,0.736627973,-0.020588652,-1.299526279,-0.293144794,-1.472359261,-0.66017642,-0.03368003,0.249237886,-0.199685758,-1.125730893,1.049840601,1.752074458,-0.249070222,1.213697697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Salween,Thailand,2005,0.277364017,-1.012215046,0.980985294,0.24201068,-1.371308126,0.126094469,0.586309306,0.870427589,0.561260241,-1.458899059,-0.273580153,-0.963540368,0.206557901,0.909654379,1.293404267,0.121170171,-0.052692391,0.984247352,0.973039551,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mekong,Myanmar,2012,-0.225001526,-0.021285076,-0.740954952,0.692574175,-1.67817394,0.21365832,-1.348566104,0.21725587,-0.553478365,0.269551628,-0.559617279,1.276876075,-0.258471648,-0.691867981,-0.735582986,0.03281591,-0.111073554,0.789748539,1.047507626,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Syria,2001,-0.704980024,0.63833202,0.303717432,-0.416199068,1.094486644,0.557743191,-0.008923313,0.155505562,-0.926587297,0.298089426,-0.400118013,-0.324883226,-0.088189967,-1.390502045,-1.515589733,-1.737473199,-0.209682722,0.588782262,-0.76715636,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Mekong,Lao People's Democratic Republic,2022,-0.824513669,-0.141283084,0.305884566,1.515933933,-1.440176244,0.21365832,-0.168645802,-0.669562074,1.2673467,0.879264016,0.554098282,1.359838194,-0.962573764,-0.700771971,0.24616555,2.114834622,0.895296484,0.97277165,1.452485144,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ili/ Kunes He,China,1999,1.037356967,-0.746192498,0.687986015,0.55120612,-0.641956086,0.582263758,-0.07965077,-1.195291684,-0.773007307,-1.445384784,-1.182506327,-0.136916007,0.235541266,-0.1837669,-1.161462565,0.395062274,1.4940456,-1.477812814,-0.431216275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Turkey,2001,0.306296441,-0.636530412,-0.3205492,-0.069401463,0.562020069,-1.356875826,0.152479282,-0.44468491,0.025656264,-1.614220812,1.30119184,0.001497282,-0.153863375,1.372860859,-1.222738273,-0.219450129,-0.711485404,-0.458177121,0.168667085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Hari / Harirud,Iran,1990,0.097139414,0.640425396,0.749201386,1.297245709,0.244230642,0.437287949,0.291140948,1.454621667,-1.131588815,0.755459401,-0.072529467,-0.473413638,-0.890065634,-1.665514393,-1.313912358,-0.911452677,-0.5008349,-0.192543927,-0.895800347,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Turkey,1993,0.256131772,-0.149070822,-0.042000181,0.174379284,0.66576957,-0.329151025,0.024419886,-0.950065244,-1.125818789,-0.970662488,1.510354191,0.79561925,-0.254450947,1.112242305,-1.291789879,0.759892595,1.527713969,-0.688565493,0.190556739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iraq,1988,-0.205299494,0.90336373,-0.173949594,1.089543193,0.075864975,-0.879380458,0.226718017,0.84940949,-1.131588815,0.84809679,0.057448689,1.030062797,-0.828766341,-0.111211916,-1.04122238,0.443529801,1.38865612,0.86367803,-0.692013164,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0
Aral Sea,Afghanistan,2018,-0.755743359,1.167018155,0.754816217,0.261231981,1.029355249,0.416873998,-1.458651271,1.373819756,0.618738973,2.133576661,-0.674384731,1.411387281,-0.517209968,-0.509626761,-0.763781379,-2.141271065,-1.774819214,-0.898301928,-0.376433573,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Kura-Araks,Armenia,1992,-1.950200719,-0.564652244,-2.673013669,0.648017503,-1.169132733,-3.318267813,0.258708923,1.466263983,-1.131588815,0.537847845,1.316019774,0.486500001,0.179967769,2.262209886,-1.426625263,-1.053792379,0.874842269,-1.297675904,0.000719145,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iran,1989,0.07930617,0.653277615,0.761969451,0.976992775,0.581492887,-0.75598558,0.271215463,1.454090431,-1.131588815,-0.551070458,0.534994013,0.077707433,-0.913536105,-1.088662549,-0.626794374,0.096544932,-0.914526948,-0.037469695,-0.469073393,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0
Helmand,Afghanistan,2021,-0.860771111,0.802667001,0.490982867,0.345824372,1.14792179,-1.958116532,-0.067914573,1.373819756,0.609609503,-0.548107041,-0.230562598,1.290817815,-0.445454123,-0.453717499,-0.95226695,-1.85924562,-1.979402182,0.314455703,-2.03031823,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Mekong,Lao People's Democratic Republic,2004,-1.668231968,-0.385115063,1.965974988,1.948854345,-1.302049392,0.285632946,-1.291055387,-0.121743828,-0.923144631,0.956600019,0.07669718,1.705732267,-1.174166893,-0.090247421,-0.237931218,0.432271309,-0.246416298,0.931124675,1.395398066,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ganges Brahmaputra Meghna,Bhutan,2011,-1.749645016,-0.43266412,0.423113837,0.897724632,-0.648296222,4.648379012,-0.237799819,0.840534514,0.540526354,0.093534228,-0.005111558,1.705601326,-1.40169193,-0.349777099,1.684590559,2.159335865,0.53907861,-0.928697716,0.964513505,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Indus,Afghanistan,1999,1.757706438,1.775174478,0.922253598,1.343858684,0.473254726,-0.38896093,0.801182833,1.435807622,0.506727399,-0.680652564,0.513765168,-0.424001421,-1.019567045,0.082883106,0.652937041,0.093915989,-0.461590035,-0.794008705,-0.167630262,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0
Aral Sea,Pakistan,2004,0.120932119,0.920276254,0.244807526,0.202811616,-1.773943516,-1.640979485,-0.933120573,0.868222193,0.110585749,-0.057797552,-0.083114521,0.373140096,0.70567212,0.235648104,0.306305566,-0.735063845,1.294217521,-2.236891954,-0.061318819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atrak,Turkmenistan ,1995,-1.646571129,0.637138949,-0.469329077,0.014574488,0.547203462,0.262227862,1.554887931,1.309236949,-1.131588815,1.035091029,0.003277514,-1.762146137,-1.929290405,-1.428523345,-1.423664204,-1.43449589,0.01572402,0.255401524,-1.119992409,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0
Mekong,Cambodia,2016,-0.584386295,0.202779041,0.34151141,-0.071205454,-1.708214291,0.12182115,-0.986345911,0.830608577,0.947669402,-0.604606382,-0.398381446,0.805211332,-0.116751487,-0.483773791,0.08462169,1.414158999,-1.431536143,1.653845864,1.147376852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Saudi Arabia,2023,1.081643227,1.52040806,1.397248221,-1.791288379,-0.415610988,-0.019759438,0.158611148,-0.485368052,1.485099764,0.438302569,-0.464633706,0.801285632,0.177043329,-0.054347962,1.801978524,0.910311954,-0.516001555,0.86035466,-1.368638752,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
Ganges Brahmaputra Meghna,India,2011,1.252319929,0.181298854,-0.091786135,0.500983085,0.418353115,1.22314989,-0.649040125,0.414154787,0.360128164,-1.724539404,-0.001782935,-0.288499535,1.32860109,0.477884553,0.937994026,-0.427429679,0.173520863,1.050474976,1.061513405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aral Sea,Kyrgystan,2023,-0.832884142,0.364394414,-0.001415566,-0.749431731,-0.42041601,0.609229539,-0.312643442,1.466856914,1.428814243,-0.201246555,0.090707688,1.006090504,-0.16005551,-0.472730549,-0.081614052,0.588367103,-0.599337036,-1.452701254,-0.327232496,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
Ganges Brahmaputra Meghna,Bhutan,1984,-2.903975206,1.113420314,3.368371405,0.547105446,-0.758286573,1.213092035,0.198523179,-0.609555977,-1.131588815,0.941506068,-0.10714538,1.102837092,-1.813873647,-0.40540374,-1.001470287,0.977692766,0.249822753,-0.920623925,1.05822332,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0
Mekong,China,2018,2.115949599,-1.782786095,-0.108044681,-0.655435958,-0.332083253,1.668616509,1.117581273,-1.578084023,1.240058922,-0.825669284,-0.4908208,-0.099514518,0.33823181,0.250065632,1.467316916,0.807782769,0.64168642,-1.035467549,0.644231721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganges Brahmaputra Meghna,Nepal,1983,-1.653016777,0.885171558,2.12167062,1.034454059,0.122494668,-1.164583146,-1.382925725,0.879602912,-1.131588815,0.75523302,0.165331407,1.126797528,0.115103224,-0.80348789,-1.178724419,-0.560735011,-0.036257455,-1.114576569,-0.164323079,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
Ili/ Kunes He,Kyrgyzstan,1994,-1.823315315,-0.11518029,-2.192077255,0.149004646,-1.355134349,-2.435110005,-0.501703719,0.848819842,-1.131588815,0.81039858,0.132900959,1.564554225,-1.222392258,0.90800672,-1.436037186,-1.414515082,1.454488317,-1.920965834,-0.272731073,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
Helmand,Afghanistan,2013,-0.706973877,1.494706268,1.018482506,0.433681223,0.478355931,0.21365832,-1.458651271,1.373819756,0.089105604,-0.515782455,-0.086546768,1.397218508,-0.642679695,-0.477646883,-0.651809891,-1.860054166,0.034113911,0.177250165,-1.117713198,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Kura-Araks,Turkey,2023,1.045066914,-1.264357259,-1.067087029,-1.205968442,0.739193012,0.071469087,0.84169725,-0.477246265,1.415539201,-0.738744209,1.290907665,0.001513353,-0.47651043,1.54645077,0.636040211,-0.048158745,-0.750954214,-0.934797224,0.075618435,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Indus,Afghanistan,2012,-0.712278822,1.868066102,1.416422471,0.567774827,0.464349096,0.303112487,-0.36989246,1.373819756,0.049766985,-1.372002668,-0.143720921,1.374375398,-0.671022209,-0.393903619,-0.622863545,-1.738977159,0.635832373,-1.005842124,0.281651809,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Mekong,Thailand,2002,0.127496383,-0.839081064,1.172491117,0.354561402,-1.160689956,-0.792325458,0.389380668,0.347996472,0.211349195,-1.134102959,-0.663468398,-0.726049548,0.182349169,0.881607688,1.204257317,1.774654569,1.176208186,1.413852149,1.120801965,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fenney,India,2019,1.441437784,-0.141901266,-0.216698069,0.082997816,0.194021743,0.087265056,-0.414018502,0.414154787,0.901275155,-1.475298303,-0.33712533,-0.461722859,1.424181467,0.682542712,1.058810718,0.209201571,-1.029709031,1.314712221,1.393045798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iran,1989,0.07930617,0.653277615,0.761969451,0.976992775,0.581492887,-0.75598558,0.271215463,1.454090431,-1.131588815,-0.551070458,0.534994013,0.077707433,-0.913536105,-1.088662549,-0.626794374,0.096544932,-0.914526948,-0.037469695,-0.469073393,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0
Fenney,India,1985,0.368331896,0.832743506,0.390626606,0.680615097,-0.899328872,-0.349433782,-1.288809663,0.907535762,-1.131588815,-0.341276235,-0.201349993,1.063489838,0.853797911,-0.162340798,-1.130774444,1.036890519,0.212389643,1.272813225,1.694150693,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iran,2009,0.617259553,-0.772238974,-0.371977765,-0.970111999,1.165164707,1.379608415,1.300360442,0.613257578,0.518897003,-0.672277195,0.215982134,-1.098539584,-0.669474625,-0.800061293,0.268423366,-0.71267628,-1.751153562,0.142351269,-0.516177055,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mekong,Thailand,1992,0.045229342,0.437253225,-0.322419165,1.13310953,-1.371308126,1.267838352,-0.095389763,-0.833098174,-1.131353164,-0.999977312,-0.304274708,-0.6792915,0.067524639,0.771610263,-0.884067612,0.629834935,-0.84366782,1.397817686,0.8091002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Helmand,Afghanistan,2001,-1.589823211,0.022041041,-0.943911222,1.290912764,0.482692939,0.243848557,-0.081422668,1.422398238,-1.128363103,0.735814768,-0.054865243,1.619460088,-1.003867091,-0.457894732,-1.345506142,-1.038111297,-2.138100907,0.298320771,-1.901507393,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0
Ganges Brahmaputra Meghna,Nepal,2007,-1.004900879,-0.088494744,0.127563898,1.515550772,0.95025262,-0.081540004,-1.190235718,1.369056435,-0.550833786,0.074387347,-0.470532375,1.700590266,0.543990717,-0.02295145,0.103733175,-1.098460129,-0.200108656,-0.418879008,0.787787522,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hari / Harirud,Afghanistan,1991,1.342603559,0.514456828,-0.417656759,1.440398757,0.50463583,0.037531036,0.700566287,1.473792184,0.627939861,-0.166504442,0.002908442,-0.607215225,-1.39548021,0.506496337,1.013914264,-0.288993609,1.80320586,-0.806340068,-0.462926157,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0
Irrawaddy,India,2021,1.488036836,-0.298718186,-0.329567835,0.252852751,0.166173787,0.328892059,-0.396536581,0.414154787,-1.131588815,-1.130803807,-0.230689082,-0.497279083,1.442042291,0.568214446,1.191069423,0.336264205,-1.01357788,0.544859028,1.09096257,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Salween,Myanmar,2015,-0.227433424,-0.061046388,-0.738779381,0.630030929,-1.678757126,0.21365832,-1.17036602,0.21725587,0.398891939,0.122077884,0.026452354,1.063155616,-0.236930602,-0.708880237,-0.527488913,-0.235068766,-1.173986596,0.844161802,0.880224641,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iraq,1993,-2.045970289,2.83455193,1.168906025,-1.015485978,0.562020069,3.586093453,0.625456151,0.036059959,-1.131588815,0.550640881,3.144120162,-1.241095737,-0.72475855,-0.403389985,-1.445270506,-1.163450418,1.853353986,0.828903548,-0.787543563,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
Aral Sea,Pakistan,1994,-0.285044478,1.13219694,0.642063291,0.35484815,-1.768350708,-1.19273377,-1.04600472,1.068988619,-1.131588815,0.456770824,0.164931247,0.717946347,0.454383911,0.324743813,-0.913357299,0.919799881,0.973675928,-2.247057265,-0.030572589,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
jordan,West Bank,2023,-0.760831319,0.292923778,0.058912366,1.424469284,0.471362657,-0.450968012,0.303081573,1.464481542,1.41876261,1.952081002,-0.180351117,1.010891295,-1.391726401,-0.482044922,-0.437562366,-1.074241805,0.744717647,0.842451178,-0.671534744,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0
Ganges Brahmaputra Meghna,India,2015,1.313226287,0.001226427,-0.17358242,0.259152342,0.421253815,0.329000687,-0.497142169,0.414154787,0.557863766,-1.075806881,-0.24667288,-0.48901576,1.379621689,0.633662698,1.002218916,0.019483117,-0.402417992,1.074023172,0.895013385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Syrian,2021,-0.857866851,0.377775862,0.756127936,-1.148833442,1.538164043,0.21365832,-0.776628049,0.112888997,-1.131588815,-0.804262371,-0.443386628,-1.071225712,0.123326902,1.180400239,-1.059941031,-2.028598881,-1.029709031,0.378603832,-0.637648947,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Aral Sea,Tajikstan,2020,-1.11169802,0.825209814,0.200471733,0.283374407,1.195043767,0.491497667,-1.099004841,-0.934895054,0.866398545,1.596851202,-0.192250204,1.572008367,-0.329683761,0.495989762,0.065197714,0.565716755,0.451614954,-1.646851975,-0.333661204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jordan,Leabanon,2017,-0.278905083,-2.728868212,-3.205889649,-1.752484804,0.881742096,-0.906731811,0.559235389,-2.068196566,1.371295958,0.858545305,-0.290164696,-1.296257829,1.678773302,2.370542455,0.398398217,-0.782334928,-1.029709031,-0.073391325,-0.477663922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hari / Harirud,Iran,1991,0.120932119,0.516921235,0.619088431,-0.699583394,1.014731051,1.532317365,0.384558388,1.46841307,-1.131588815,-0.05779836,0.356700545,-0.42846609,-0.868117275,-1.589432986,-1.308531243,-0.577469217,1.454488317,-0.220952803,-0.535161708,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
jordan,West Bank,2020,-0.822705686,0.406261668,0.110321262,-1.61673784,2.685584038,-0.605729694,-0.322731586,-1.931790201,1.35795822,2.114322314,-0.969406614,-1.773663304,1.966678386,-0.463696071,0.156834372,-1.25806686,0.567274979,0.77156602,-0.411351817,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Jordan,Jordan,2011,-0.537462593,-3.686657982,0.664895289,-1.758327182,1.27654138,0.284850544,0.010756233,-1.724396629,0.984284602,0.759619967,-0.302454229,-1.64704898,-0.172452513,2.263599875,1.015601684,0.549513804,-1.029709031,0.350316534,-1.215412085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aral Sea,Tajikstan,2005,-1.678707781,0.795504209,-0.446926565,0.805732045,-0.602793655,-2.119910337,-1.223331779,0.494170174,-0.954327668,0.746013435,-0.103901777,1.696327844,-0.625837079,0.560109706,-0.380470729,-0.50631573,1.37616544,-1.674772445,-0.166265388,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ganges Brahmaputra Meghna,Bhutan,1996,-2.608536449,-0.960970175,1.160554238,1.596154881,-1.351352122,0.968231806,0.101411894,-0.815769455,-1.131588815,0.978809219,-0.008248434,1.042364249,-1.623264926,-0.26261554,1.632819841,2.036212787,0.164747503,-0.92600802,0.869373804,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
Amur,Mongolia,1998,-2.006763483,0.523188709,-0.858145123,0.533149301,0.027298653,0.131451146,0.010528892,-1.935136501,-1.038754089,0.804030517,0.021461268,-1.773663304,-2.919836018,0.22583695,0.587171125,1.590148064,0.363362962,-1.518266126,-0.325640595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indus,Pakistan,1991,-0.345152425,1.381661297,0.908362552,0.352637131,-1.772076831,-1.252669815,-1.125313749,1.186080205,-1.131588815,0.271025579,0.139062482,0.762410743,0.376112683,0.206508247,-1.411754639,-1.090136835,0.771073552,0.638829666,-0.52780187,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Mekong,Lao People's Democratic Republic,2011,-1.078987292,-0.009197457,0.462430279,1.543896056,-1.518985352,-0.155411239,-0.953726827,0.976104022,0.301568689,-0.605484738,-0.075908355,1.705732267,-1.09138415,-0.321636729,-0.023927844,1.09677576,1.265734564,0.857516947,1.649655747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maritsa,Greece,1984,-0.3287752,-0.447999162,-1.19550576,1.328156549,0.256407172,-0.222232917,0.699585482,-0.247379606,-1.131588815,0.338605918,0.404691285,1.043884388,-0.253189048,0.031340728,-1.488470061,-1.741495599,0.755807813,-0.249070222,0.044444834,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Han,North Korea,2019,1.391716788,-0.482695128,-1.185601334,0.435227119,-0.796131788,-0.265430172,-0.247710512,-0.815769455,1.062834261,-0.71117295,-0.228704842,0.798321692,0.680163632,-0.103255183,-0.688682685,0.821830418,-1.083713322,-0.625330376,0.224992039,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Aral Sea,Pakistan,1985,-0.513807417,1.310893087,0.832996825,1.41287381,0.47733655,-1.320979365,-1.256736964,1.246435821,-1.131588815,1.043729214,-0.197407172,1.088166183,0.193949898,-0.519644549,-1.474910226,-1.743506799,-0.14821965,-2.222311729,-0.172171377,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Amur,Mongolia,1996,-1.924815036,0.613295732,-0.762382112,0.374342738,-0.024181273,-0.378751234,0.062347222,-1.898386292,-1.119240433,0.546967575,1.152573821,-1.773663304,-2.931288504,0.198890036,0.489991255,2.064097497,-0.051549727,-1.592643709,-0.784362574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salween,Myanmar,2006,-0.853252897,-0.081560363,-0.806676779,0.878879595,-1.729795567,0.257240224,-1.308576178,0.21725587,-1.0178328,-1.041602142,0.457936824,0.966501077,-0.295154785,-0.704688309,-0.733476205,0.144901017,1.343001108,0.840380677,1.276908735,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Ganges Brahmaputra Meghna,Myanmar,2013,-0.222572692,-0.01694581,-0.738558967,0.677118251,-1.673516707,0.21365832,-1.298592951,0.21725587,-0.456056308,-0.340828148,-0.195511217,1.297107621,-0.25103752,-0.634344104,-0.772278241,-0.203478286,-0.838616927,0.327715828,1.30563535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amur,North Korea,1993,1.517504493,0.299812883,-0.599262693,0.900224868,-0.919994359,0.027849023,0.256800535,-0.239506204,1.206335751,-0.05638931,-0.152942162,1.088443484,0.526177067,0.024591047,0.63571479,-0.643843409,0.212389643,-1.680583255,0.309780118,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0
jordan,West Bank,2023,-0.760831319,0.292923778,0.058912366,1.424469284,0.471362657,-0.450968012,0.303081573,1.464481542,1.41876261,1.952081002,-0.180351117,1.010891295,-1.391726401,-0.482044922,-0.437562366,-1.074241805,0.744717647,0.842451178,-0.671534744,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0
Asi/ Orontes,Lebanon,2021,-0.645612283,-1.099879366,-1.389606008,-1.753387686,1.244315511,-2.872224478,0.046827328,-2.068196566,1.39736815,0.802553358,2.648869863,-0.807517668,1.603591842,2.288792193,-0.552221165,-0.613884157,-1.029709031,0.025760172,-0.147731366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atrak,Iran,1991,0.120932119,0.516921235,0.619088431,-0.699583394,1.014731051,1.532317365,0.384558388,1.46841307,-1.131588815,-0.05779836,0.356700545,-0.42846609,-0.868117275,-1.589432986,-1.308531243,-0.577469217,1.179557385,-0.312388153,-0.513820414,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iraq,1996,-1.000245166,1.880104528,0.153530409,-1.050659656,0.588503126,3.42709137,0.560029549,-0.325817409,-1.131588815,0.809527485,-12.76154597,-1.305179855,-0.631165194,-0.478766024,-1.418994553,-1.016768936,-0.065138249,0.978357871,-0.763318803,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ili/ Kunes He,Kazakhstan,2012,0.319021532,0.366257831,-0.722700683,-0.665940257,-0.081946774,-0.49496534,1.89567133,-1.680332352,1.261255406,-0.169042768,-0.226175894,-0.616883849,-2.147192161,-1.279306164,0.326258632,0.675779992,-0.76695162,-1.036988292,-0.721384482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indus,Pakistan,2004,0.120932119,0.920276254,0.244807526,0.202811616,-1.773943516,-1.640979485,-0.933120573,0.868222193,0.110585749,-0.057797552,-0.083114521,0.373140096,0.70567212,0.235648104,0.306305566,-0.735063845,0.031575871,0.805894786,-0.617951909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kura-Araks,Turkey,2020,0.85563356,-0.949053261,-0.677984377,-1.061711591,1.310726466,0.236146014,0.779170504,0.059682353,1.368300254,-0.699217241,0.16097406,0.225343463,0.048802853,1.536236938,0.735528854,-0.207695161,-1.009212354,-0.984479881,-0.131375246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekong,Thailand,2019,0.735046872,-1.122230291,-0.624761321,-0.371016648,-1.708214291,-0.664244272,0.922308088,0.410556648,1.296607921,-0.733083471,-0.662043966,-1.083936398,0.278990569,0.932993033,1.203764392,0.576130165,-1.122729637,1.565708562,0.861552777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aral Sea,Afghanistan,1994,1.748497999,4.530746484,3.853696892,1.433738751,0.457886193,-0.589799745,0.064481369,1.459461052,0.627939861,0.007207901,0.285215092,0.496926552,-1.178360194,0.32159519,0.879831404,0.041693362,1.280877644,-1.039017759,-0.330770533,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0
Salween,Thailand,1990,-0.069845959,0.394060814,-0.100510074,0.895040368,-0.467539997,1.434115203,-0.230648669,0.37296399,-1.131588815,-1.143150937,-0.180818978,-0.412610178,0.038899616,0.75478429,-1.0741887,0.322281294,-0.923676217,0.952461835,0.86163576,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Kura-Araks,Georgia,2014,-0.757897217,-0.855022531,-1.229675943,0.351010151,1.845384312,-0.444633342,0.297663216,-2.082123995,1.150471537,0.613734374,-0.393897504,1.42934601,-0.395083568,1.527566719,1.386381986,0.780230693,-0.880792569,-0.781310387,0.327582028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
